name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
Arduino Uno R3,arduino-uno-r3,"The Arduino Uno R3 is the perfect board to get started with electronics and coding. It features the ATmega328P microcontroller with 14 digital I/O pins, 6 analog inputs, and a 16 MHz quartz crystal.",arduino-uno.jpg,category:Microcontrollers|brand:Arduino,,,ARD-UNO-R3,65000,standard,150,true,,
Raspberry Pi 4 Model B,raspberry-pi-4,"The Raspberry Pi 4 Model B is the latest product in the popular Raspberry Pi range of computers. It offers ground-breaking increases in processor speed, multimedia performance, memory, and connectivity.",raspberry-pi-4.jpg,category:Development Boards|brand:Raspberry Pi|connectivity:WiFi|connectivity:Bluetooth,,,RPI-4-4GB,385000,standard,80,true,,
ESP32 Development Board,esp32-dev-board,"The ESP32 is a powerful dual-core microcontroller with integrated Wi-Fi and Bluetooth. Perfect for IoT projects, it features ultra-low power consumption and rich peripheral interfaces.",esp32-dev.jpg,category:Development Boards|brand:Espressif|connectivity:WiFi|connectivity:Bluetooth,,,ESP32-DEV,35000,standard,200,true,,
DHT22 Temperature Humidity Sensor,dht22-sensor,"The DHT22 is a basic, low-cost digital temperature and humidity sensor. It uses a capacitive humidity sensor and a thermistor to measure the surrounding air.",dht22-sensor.jpg,category:Sensors|brand:Generic|sensor-type:Temperature|sensor-type:Humidity,,,DHT22-001,28000,standard,300,true,,
HC-SR04 Ultrasonic Distance Sensor,hc-sr04-sensor,"The HC-SR04 ultrasonic sensor uses sonar to determine distance to an object like bats do. It offers excellent non-contact range detection with high accuracy.",hc-sr04.jpg,category:Sensors|brand:Generic|sensor-type:Distance,,,HCSR04-001,15000,standard,250,true,,
MPU6050 6-Axis Accelerometer Gyroscope,mpu6050-sensor,"The MPU6050 is the world's first integrated 6-axis MotionTracking device that combines a 3-axis gyroscope and 3-axis accelerometer on the same silicon die.",mpu6050.jpg,category:Sensors|brand:InvenSense|sensor-type:Motion|sensor-type:Acceleration,,,MPU6050-001,22000,standard,180,true,,
BMP280 Barometric Pressure Sensor,bmp280-sensor,"The BMP280 is an absolute barometric pressure sensor especially designed for mobile applications. It offers high accuracy and low power consumption.",bmp280.jpg,category:Sensors|brand:Bosch|sensor-type:Pressure|sensor-type:Temperature,,,BMP280-001,18000,standard,220,true,,
NodeMCU ESP8266,nodemcu-esp8266,"NodeMCU is an open source IoT platform. It uses the Lua scripting language and is based on the eLua project. Built-in WiFi makes it perfect for connected projects.",nodemcu.jpg,category:Development Boards|brand:Espressif|connectivity:WiFi,,,NODE-ESP8266,25000,standard,175,true,,
Arduino Nano,arduino-nano,"The Arduino Nano is a small, complete, and breadboard-friendly board based on the ATmega328. It has more or less the same functionality of the Arduino Duemilanove.",arduino-nano.jpg,category:Microcontrollers|brand:Arduino,,,ARD-NANO,48000,standard,120,true,,
Raspberry Pi Pico,raspberry-pi-pico,"The Raspberry Pi Pico is a tiny, fast, and versatile board built using RP2040, a brand new microcontroller chip designed by Raspberry Pi in the UK.",pi-pico.jpg,category:Microcontrollers|brand:Raspberry Pi,,,RPI-PICO,12000,standard,300,true,,
